query_lang,index_lang,metric,mean,ci_lo,ci_hi,n,missing_rate
cs,cs,ndcg@10,0.9815464876785729,0.9446394630357187,1.0,20,0.0
cs,cs,recall@10,1.0,1.0,1.0,20,0.0
cs,cs,recall@100,1.0,1.0,1.0,20,0.0
cs,cs,mrr@100,0.975,0.925,1.0,20,0.0
cs,cs,success@1,0.95,0.85,1.0,20,0.0
cs,de,ndcg@10,0.407009036022861,0.21963946303571866,0.5959997289944672,20,0.0
cs,de,recall@10,0.55,0.35,0.75,20,0.0
cs,de,recall@100,0.55,0.35,0.75,20,0.0
cs,de,mrr@100,0.3638095238095238,0.17713095238095247,0.5566785714285714,20,0.0
cs,de,success@1,0.3,0.1,0.5,20,0.0
cs,en,ndcg@10,0.33605122877766636,0.17159798746177196,0.5110512287776663,20,0.0
cs,en,recall@10,0.5,0.3,0.7,20,0.0
cs,en,recall@100,0.5,0.3,0.7,20,0.0
cs,en,mrr@100,0.28555555555555556,0.13,0.4605555555555555,20,0.0
cs,en,success@1,0.2,0.05,0.4,20,0.0
de,cs,ndcg@10,0.24463946303571865,0.08154648767857288,0.42082541375001015,20,0.0
de,cs,recall@10,0.3,0.1,0.5,20,0.0
de,cs,recall@100,0.3,0.1,0.5,20,0.0
de,cs,mrr@100,0.225,0.075,0.4,20,0.0
de,cs,success@1,0.15,0.0,0.3,20,0.0
de,de,ndcg@10,0.9815464876785729,0.9446394630357187,1.0,20,0.0
de,de,recall@10,1.0,1.0,1.0,20,0.0
de,de,recall@100,1.0,1.0,1.0,20,0.0
de,de,mrr@100,0.975,0.925,1.0,20,0.0
de,de,success@1,0.95,0.85,1.0,20,0.0
de,en,ndcg@10,0.314620625300107,0.15450358568568465,0.48606927237906816,20,0.0
de,en,recall@10,0.5,0.3,0.7,20,0.0
de,en,recall@100,0.5,0.3,0.7,20,0.0
de,en,mrr@100,0.26013888888888886,0.10471875000000004,0.4334722222222222,20,0.0
de,en,success@1,0.2,0.05,0.4,20,0.0
en,cs,ndcg@10,0.49101458785019564,0.33332328512042025,0.6575077747747426,20,0.0
en,cs,recall@10,0.8,0.6,0.95,20,0.0
en,cs,recall@100,0.8,0.6,0.95,20,0.0
en,cs,mrr@100,0.4003174603174603,0.23166071428571436,0.5881845238095236,20,0.0
en,cs,success@1,0.3,0.1,0.5,20,0.0
en,de,ndcg@10,0.47699185660116533,0.32558343792106004,0.6309951073767406,20,0.0
en,de,recall@10,0.8,0.6,0.95,20,0.0
en,de,recall@100,0.8,0.6,0.95,20,0.0
en,de,mrr@100,0.38087301587301586,0.2217400793650794,0.5536507936507936,20,0.0
en,de,success@1,0.25,0.05,0.45,20,0.0
en,en,ndcg@10,1.0,1.0,1.0,20,0.0
en,en,recall@10,1.0,1.0,1.0,20,0.0
en,en,recall@100,1.0,1.0,1.0,20,0.0
en,en,mrr@100,1.0,1.0,1.0,20,0.0
en,en,success@1,1.0,1.0,1.0,20,0.0
