query_id,query_group,query_lang,index_lang,metric,value,measured
q00001_cs,q00001,cs,cs,ndcg@10,1.0,True
q00001_cs,q00001,cs,cs,recall@10,1.0,True
q00001_cs,q00001,cs,cs,recall@100,1.0,True
q00001_cs,q00001,cs,cs,mrr@100,1.0,True
q00001_cs,q00001,cs,cs,success@1,1.0,True
q00002_cs,q00002,cs,cs,ndcg@10,1.0,True
q00002_cs,q00002,cs,cs,recall@10,1.0,True
q00002_cs,q00002,cs,cs,recall@100,1.0,True
q00002_cs,q00002,cs,cs,mrr@100,1.0,True
q00002_cs,q00002,cs,cs,success@1,1.0,True
q00003_cs,q00003,cs,cs,ndcg@10,0.6309297535714575,True
q00003_cs,q00003,cs,cs,recall@10,1.0,True
q00003_cs,q00003,cs,cs,recall@100,1.0,True
q00003_cs,q00003,cs,cs,mrr@100,0.5,True
q00003_cs,q00003,cs,cs,success@1,0.0,True
q00004_cs,q00004,cs,cs,ndcg@10,1.0,True
q00004_cs,q00004,cs,cs,recall@10,1.0,True
q00004_cs,q00004,cs,cs,recall@100,1.0,True
q00004_cs,q00004,cs,cs,mrr@100,1.0,True
q00004_cs,q00004,cs,cs,success@1,1.0,True
q00005_cs,q00005,cs,cs,ndcg@10,1.0,True
q00005_cs,q00005,cs,cs,recall@10,1.0,True
q00005_cs,q00005,cs,cs,recall@100,1.0,True
q00005_cs,q00005,cs,cs,mrr@100,1.0,True
q00005_cs,q00005,cs,cs,success@1,1.0,True
q00006_cs,q00006,cs,cs,ndcg@10,1.0,True
q00006_cs,q00006,cs,cs,recall@10,1.0,True
q00006_cs,q00006,cs,cs,recall@100,1.0,True
q00006_cs,q00006,cs,cs,mrr@100,1.0,True
q00006_cs,q00006,cs,cs,success@1,1.0,True
q00007_cs,q00007,cs,cs,ndcg@10,1.0,True
q00007_cs,q00007,cs,cs,recall@10,1.0,True
q00007_cs,q00007,cs,cs,recall@100,1.0,True
q00007_cs,q00007,cs,cs,mrr@100,1.0,True
q00007_cs,q00007,cs,cs,success@1,1.0,True
q00008_cs,q00008,cs,cs,ndcg@10,1.0,True
q00008_cs,q00008,cs,cs,recall@10,1.0,True
q00008_cs,q00008,cs,cs,recall@100,1.0,True
q00008_cs,q00008,cs,cs,mrr@100,1.0,True
q00008_cs,q00008,cs,cs,success@1,1.0,True
q00009_cs,q00009,cs,cs,ndcg@10,1.0,True
q00009_cs,q00009,cs,cs,recall@10,1.0,True
q00009_cs,q00009,cs,cs,recall@100,1.0,True
q00009_cs,q00009,cs,cs,mrr@100,1.0,True
q00009_cs,q00009,cs,cs,success@1,1.0,True
q00010_cs,q00010,cs,cs,ndcg@10,1.0,True
q00010_cs,q00010,cs,cs,recall@10,1.0,True
q00010_cs,q00010,cs,cs,recall@100,1.0,True
q00010_cs,q00010,cs,cs,mrr@100,1.0,True
q00010_cs,q00010,cs,cs,success@1,1.0,True
q00011_cs,q00011,cs,cs,ndcg@10,1.0,True
q00011_cs,q00011,cs,cs,recall@10,1.0,True
q00011_cs,q00011,cs,cs,recall@100,1.0,True
q00011_cs,q00011,cs,cs,mrr@100,1.0,True
q00011_cs,q00011,cs,cs,success@1,1.0,True
q00012_cs,q00012,cs,cs,ndcg@10,1.0,True
q00012_cs,q00012,cs,cs,recall@10,1.0,True
q00012_cs,q00012,cs,cs,recall@100,1.0,True
q00012_cs,q00012,cs,cs,mrr@100,1.0,True
q00012_cs,q00012,cs,cs,success@1,1.0,True
q00013_cs,q00013,cs,cs,ndcg@10,1.0,True
q00013_cs,q00013,cs,cs,recall@10,1.0,True
q00013_cs,q00013,cs,cs,recall@100,1.0,True
q00013_cs,q00013,cs,cs,mrr@100,1.0,True
q00013_cs,q00013,cs,cs,success@1,1.0,True
q00014_cs,q00014,cs,cs,ndcg@10,1.0,True
q00014_cs,q00014,cs,cs,recall@10,1.0,True
q00014_cs,q00014,cs,cs,recall@100,1.0,True
q00014_cs,q00014,cs,cs,mrr@100,1.0,True
q00014_cs,q00014,cs,cs,success@1,1.0,True
q00015_cs,q00015,cs,cs,ndcg@10,1.0,True
q00015_cs,q00015,cs,cs,recall@10,1.0,True
q00015_cs,q00015,cs,cs,recall@100,1.0,True
q00015_cs,q00015,cs,cs,mrr@100,1.0,True
q00015_cs,q00015,cs,cs,success@1,1.0,True
q00016_cs,q00016,cs,cs,ndcg@10,1.0,True
q00016_cs,q00016,cs,cs,recall@10,1.0,True
q00016_cs,q00016,cs,cs,recall@100,1.0,True
q00016_cs,q00016,cs,cs,mrr@100,1.0,True
q00016_cs,q00016,cs,cs,success@1,1.0,True
q00017_cs,q00017,cs,cs,ndcg@10,1.0,True
q00017_cs,q00017,cs,cs,recall@10,1.0,True
q00017_cs,q00017,cs,cs,recall@100,1.0,True
q00017_cs,q00017,cs,cs,mrr@100,1.0,True
q00017_cs,q00017,cs,cs,success@1,1.0,True
q00018_cs,q00018,cs,cs,ndcg@10,1.0,True
q00018_cs,q00018,cs,cs,recall@10,1.0,True
q00018_cs,q00018,cs,cs,recall@100,1.0,True
q00018_cs,q00018,cs,cs,mrr@100,1.0,True
q00018_cs,q00018,cs,cs,success@1,1.0,True
q00019_cs,q00019,cs,cs,ndcg@10,1.0,True
q00019_cs,q00019,cs,cs,recall@10,1.0,True
q00019_cs,q00019,cs,cs,recall@100,1.0,True
q00019_cs,q00019,cs,cs,mrr@100,1.0,True
q00019_cs,q00019,cs,cs,success@1,1.0,True
q00020_cs,q00020,cs,cs,ndcg@10,1.0,True
q00020_cs,q00020,cs,cs,recall@10,1.0,True
q00020_cs,q00020,cs,cs,recall@100,1.0,True
q00020_cs,q00020,cs,cs,mrr@100,1.0,True
q00020_cs,q00020,cs,cs,success@1,1.0,True
q00001_cs,q00001,cs,de,ndcg@10,0.0,True
q00001_cs,q00001,cs,de,recall@10,0.0,True
q00001_cs,q00001,cs,de,recall@100,0.0,True
q00001_cs,q00001,cs,de,mrr@100,0.0,True
q00001_cs,q00001,cs,de,success@1,0.0,True
q00002_cs,q00002,cs,de,ndcg@10,0.0,True
q00002_cs,q00002,cs,de,recall@10,0.0,True
q00002_cs,q00002,cs,de,recall@100,0.0,True
q00002_cs,q00002,cs,de,mrr@100,0.0,True
q00002_cs,q00002,cs,de,success@1,0.0,True
q00003_cs,q00003,cs,de,ndcg@10,0.2890648263178879,True
q00003_cs,q00003,cs,de,recall@10,1.0,True
q00003_cs,q00003,cs,de,recall@100,1.0,True
q00003_cs,q00003,cs,de,mrr@100,0.1,True
q00003_cs,q00003,cs,de,success@1,0.0,True
q00004_cs,q00004,cs,de,ndcg@10,1.0,True
q00004_cs,q00004,cs,de,recall@10,1.0,True
q00004_cs,q00004,cs,de,recall@100,1.0,True
q00004_cs,q00004,cs,de,mrr@100,1.0,True
q00004_cs,q00004,cs,de,success@1,1.0,True
q00005_cs,q00005,cs,de,ndcg@10,0.0,True
q00005_cs,q00005,cs,de,recall@10,0.0,True
q00005_cs,q00005,cs,de,recall@100,0.0,True
q00005_cs,q00005,cs,de,mrr@100,0.0,True
q00005_cs,q00005,cs,de,success@1,0.0,True
q00006_cs,q00006,cs,de,ndcg@10,0.0,True
q00006_cs,q00006,cs,de,recall@10,0.0,True
q00006_cs,q00006,cs,de,recall@100,0.0,True
q00006_cs,q00006,cs,de,mrr@100,0.0,True
q00006_cs,q00006,cs,de,success@1,0.0,True
q00007_cs,q00007,cs,de,ndcg@10,0.6309297535714575,True
q00007_cs,q00007,cs,de,recall@10,1.0,True
q00007_cs,q00007,cs,de,recall@100,1.0,True
q00007_cs,q00007,cs,de,mrr@100,0.5,True
q00007_cs,q00007,cs,de,success@1,0.0,True
q00008_cs,q00008,cs,de,ndcg@10,0.0,True
q00008_cs,q00008,cs,de,recall@10,0.0,True
q00008_cs,q00008,cs,de,recall@100,0.0,True
q00008_cs,q00008,cs,de,mrr@100,0.0,True
q00008_cs,q00008,cs,de,success@1,0.0,True
q00009_cs,q00009,cs,de,ndcg@10,0.0,True
q00009_cs,q00009,cs,de,recall@10,0.0,True
q00009_cs,q00009,cs,de,recall@100,0.0,True
q00009_cs,q00009,cs,de,mrr@100,0.0,True
q00009_cs,q00009,cs,de,success@1,0.0,True
q00010_cs,q00010,cs,de,ndcg@10,1.0,True
q00010_cs,q00010,cs,de,recall@10,1.0,True
q00010_cs,q00010,cs,de,recall@100,1.0,True
q00010_cs,q00010,cs,de,mrr@100,1.0,True
q00010_cs,q00010,cs,de,success@1,1.0,True
q00011_cs,q00011,cs,de,ndcg@10,0.0,True
q00011_cs,q00011,cs,de,recall@10,0.0,True
q00011_cs,q00011,cs,de,recall@100,0.0,True
q00011_cs,q00011,cs,de,mrr@100,0.0,True
q00011_cs,q00011,cs,de,success@1,0.0,True
q00012_cs,q00012,cs,de,ndcg@10,1.0,True
q00012_cs,q00012,cs,de,recall@10,1.0,True
q00012_cs,q00012,cs,de,recall@100,1.0,True
q00012_cs,q00012,cs,de,mrr@100,1.0,True
q00012_cs,q00012,cs,de,success@1,1.0,True
q00013_cs,q00013,cs,de,ndcg@10,0.0,True
q00013_cs,q00013,cs,de,recall@10,0.0,True
q00013_cs,q00013,cs,de,recall@100,0.0,True
q00013_cs,q00013,cs,de,mrr@100,0.0,True
q00013_cs,q00013,cs,de,success@1,0.0,True
q00014_cs,q00014,cs,de,ndcg@10,0.3333333333333333,True
q00014_cs,q00014,cs,de,recall@10,1.0,True
q00014_cs,q00014,cs,de,recall@100,1.0,True
q00014_cs,q00014,cs,de,mrr@100,0.14285714285714285,True
q00014_cs,q00014,cs,de,success@1,0.0,True
q00015_cs,q00015,cs,de,ndcg@10,0.0,True
q00015_cs,q00015,cs,de,recall@10,0.0,True
q00015_cs,q00015,cs,de,recall@100,0.0,True
q00015_cs,q00015,cs,de,mrr@100,0.0,True
q00015_cs,q00015,cs,de,success@1,0.0,True
q00016_cs,q00016,cs,de,ndcg@10,0.5,True
q00016_cs,q00016,cs,de,recall@10,1.0,True
q00016_cs,q00016,cs,de,recall@100,1.0,True
q00016_cs,q00016,cs,de,mrr@100,0.3333333333333333,True
q00016_cs,q00016,cs,de,success@1,0.0,True
q00017_cs,q00017,cs,de,ndcg@10,1.0,True
q00017_cs,q00017,cs,de,recall@10,1.0,True
q00017_cs,q00017,cs,de,recall@100,1.0,True
q00017_cs,q00017,cs,de,mrr@100,1.0,True
q00017_cs,q00017,cs,de,success@1,1.0,True
q00018_cs,q00018,cs,de,ndcg@10,0.38685280723454163,True
q00018_cs,q00018,cs,de,recall@10,1.0,True
q00018_cs,q00018,cs,de,recall@100,1.0,True
q00018_cs,q00018,cs,de,mrr@100,0.2,True
q00018_cs,q00018,cs,de,success@1,0.0,True
q00019_cs,q00019,cs,de,ndcg@10,1.0,True
q00019_cs,q00019,cs,de,recall@10,1.0,True
q00019_cs,q00019,cs,de,recall@100,1.0,True
q00019_cs,q00019,cs,de,mrr@100,1.0,True
q00019_cs,q00019,cs,de,success@1,1.0,True
q00020_cs,q00020,cs,de,ndcg@10,1.0,True
q00020_cs,q00020,cs,de,recall@10,1.0,True
q00020_cs,q00020,cs,de,recall@100,1.0,True
q00020_cs,q00020,cs,de,mrr@100,1.0,True
q00020_cs,q00020,cs,de,success@1,1.0,True
q00001_cs,q00001,cs,en,ndcg@10,0.0,True
q00001_cs,q00001,cs,en,recall@10,0.0,True
q00001_cs,q00001,cs,en,recall@100,0.0,True
q00001_cs,q00001,cs,en,mrr@100,0.0,True
q00001_cs,q00001,cs,en,success@1,0.0,True
q00002_cs,q00002,cs,en,ndcg@10,0.0,True
q00002_cs,q00002,cs,en,recall@10,0.0,True
q00002_cs,q00002,cs,en,recall@100,0.0,True
q00002_cs,q00002,cs,en,mrr@100,0.0,True
q00002_cs,q00002,cs,en,success@1,0.0,True
q00003_cs,q00003,cs,en,ndcg@10,0.3010299956639812,True
q00003_cs,q00003,cs,en,recall@10,1.0,True
q00003_cs,q00003,cs,en,recall@100,1.0,True
q00003_cs,q00003,cs,en,mrr@100,0.1111111111111111,True
q00003_cs,q00003,cs,en,success@1,0.0,True
q00004_cs,q00004,cs,en,ndcg@10,0.5,True
q00004_cs,q00004,cs,en,recall@10,1.0,True
q00004_cs,q00004,cs,en,recall@100,1.0,True
q00004_cs,q00004,cs,en,mrr@100,0.3333333333333333,True
q00004_cs,q00004,cs,en,success@1,0.0,True
q00005_cs,q00005,cs,en,ndcg@10,0.0,True
q00005_cs,q00005,cs,en,recall@10,0.0,True
q00005_cs,q00005,cs,en,recall@100,0.0,True
q00005_cs,q00005,cs,en,mrr@100,0.0,True
q00005_cs,q00005,cs,en,success@1,0.0,True
q00006_cs,q00006,cs,en,ndcg@10,0.0,True
q00006_cs,q00006,cs,en,recall@10,0.0,True
q00006_cs,q00006,cs,en,recall@100,0.0,True
q00006_cs,q00006,cs,en,mrr@100,0.0,True
q00006_cs,q00006,cs,en,success@1,0.0,True
q00007_cs,q00007,cs,en,ndcg@10,1.0,True
q00007_cs,q00007,cs,en,recall@10,1.0,True
q00007_cs,q00007,cs,en,recall@100,1.0,True
q00007_cs,q00007,cs,en,mrr@100,1.0,True
q00007_cs,q00007,cs,en,success@1,1.0,True
q00008_cs,q00008,cs,en,ndcg@10,0.0,True
q00008_cs,q00008,cs,en,recall@10,0.0,True
q00008_cs,q00008,cs,en,recall@100,0.0,True
q00008_cs,q00008,cs,en,mrr@100,0.0,True
q00008_cs,q00008,cs,en,success@1,0.0,True
q00009_cs,q00009,cs,en,ndcg@10,0.0,True
q00009_cs,q00009,cs,en,recall@10,0.0,True
q00009_cs,q00009,cs,en,recall@100,0.0,True
q00009_cs,q00009,cs,en,mrr@100,0.0,True
q00009_cs,q00009,cs,en,success@1,0.0,True
q00010_cs,q00010,cs,en,ndcg@10,1.0,True
q00010_cs,q00010,cs,en,recall@10,1.0,True
q00010_cs,q00010,cs,en,recall@100,1.0,True
q00010_cs,q00010,cs,en,mrr@100,1.0,True
q00010_cs,q00010,cs,en,success@1,1.0,True
q00011_cs,q00011,cs,en,ndcg@10,0.0,True
q00011_cs,q00011,cs,en,recall@10,0.0,True
q00011_cs,q00011,cs,en,recall@100,0.0,True
q00011_cs,q00011,cs,en,mrr@100,0.0,True
q00011_cs,q00011,cs,en,success@1,0.0,True
q00012_cs,q00012,cs,en,ndcg@10,0.0,True
q00012_cs,q00012,cs,en,recall@10,0.0,True
q00012_cs,q00012,cs,en,recall@100,0.0,True
q00012_cs,q00012,cs,en,mrr@100,0.0,True
q00012_cs,q00012,cs,en,success@1,0.0,True
q00013_cs,q00013,cs,en,ndcg@10,0.0,True
q00013_cs,q00013,cs,en,recall@10,0.0,True
q00013_cs,q00013,cs,en,recall@100,0.0,True
q00013_cs,q00013,cs,en,mrr@100,0.0,True
q00013_cs,q00013,cs,en,success@1,0.0,True
q00014_cs,q00014,cs,en,ndcg@10,0.2890648263178879,True
q00014_cs,q00014,cs,en,recall@10,1.0,True
q00014_cs,q00014,cs,en,recall@100,1.0,True
q00014_cs,q00014,cs,en,mrr@100,0.1,True
q00014_cs,q00014,cs,en,success@1,0.0,True
q00015_cs,q00015,cs,en,ndcg@10,0.0,True
q00015_cs,q00015,cs,en,recall@10,0.0,True
q00015_cs,q00015,cs,en,recall@100,0.0,True
q00015_cs,q00015,cs,en,mrr@100,0.0,True
q00015_cs,q00015,cs,en,success@1,0.0,True
q00016_cs,q00016,cs,en,ndcg@10,0.5,True
q00016_cs,q00016,cs,en,recall@10,1.0,True
q00016_cs,q00016,cs,en,recall@100,1.0,True
q00016_cs,q00016,cs,en,mrr@100,0.3333333333333333,True
q00016_cs,q00016,cs,en,success@1,0.0,True
q00017_cs,q00017,cs,en,ndcg@10,1.0,True
q00017_cs,q00017,cs,en,recall@10,1.0,True
q00017_cs,q00017,cs,en,recall@100,1.0,True
q00017_cs,q00017,cs,en,mrr@100,1.0,True
q00017_cs,q00017,cs,en,success@1,1.0,True
q00018_cs,q00018,cs,en,ndcg@10,0.5,True
q00018_cs,q00018,cs,en,recall@10,1.0,True
q00018_cs,q00018,cs,en,recall@100,1.0,True
q00018_cs,q00018,cs,en,mrr@100,0.3333333333333333,True
q00018_cs,q00018,cs,en,success@1,0.0,True
q00019_cs,q00019,cs,en,ndcg@10,0.6309297535714575,True
q00019_cs,q00019,cs,en,recall@10,1.0,True
q00019_cs,q00019,cs,en,recall@100,1.0,True
q00019_cs,q00019,cs,en,mrr@100,0.5,True
q00019_cs,q00019,cs,en,success@1,0.0,True
q00020_cs,q00020,cs,en,ndcg@10,1.0,True
q00020_cs,q00020,cs,en,recall@10,1.0,True
q00020_cs,q00020,cs,en,recall@100,1.0,True
q00020_cs,q00020,cs,en,mrr@100,1.0,True
q00020_cs,q00020,cs,en,success@1,1.0,True
q00001_de,q00001,de,cs,ndcg@10,0.0,True
q00001_de,q00001,de,cs,recall@10,0.0,True
q00001_de,q00001,de,cs,recall@100,0.0,True
q00001_de,q00001,de,cs,mrr@100,0.0,True
q00001_de,q00001,de,cs,success@1,0.0,True
q00002_de,q00002,de,cs,ndcg@10,0.0,True
q00002_de,q00002,de,cs,recall@10,0.0,True
q00002_de,q00002,de,cs,recall@100,0.0,True
q00002_de,q00002,de,cs,mrr@100,0.0,True
q00002_de,q00002,de,cs,success@1,0.0,True
q00003_de,q00003,de,cs,ndcg@10,0.0,True
q00003_de,q00003,de,cs,recall@10,0.0,True
q00003_de,q00003,de,cs,recall@100,0.0,True
q00003_de,q00003,de,cs,mrr@100,0.0,True
q00003_de,q00003,de,cs,success@1,0.0,True
q00004_de,q00004,de,cs,ndcg@10,0.0,True
q00004_de,q00004,de,cs,recall@10,0.0,True
q00004_de,q00004,de,cs,recall@100,0.0,True
q00004_de,q00004,de,cs,mrr@100,0.0,True
q00004_de,q00004,de,cs,success@1,0.0,True
q00005_de,q00005,de,cs,ndcg@10,0.0,True
q00005_de,q00005,de,cs,recall@10,0.0,True
q00005_de,q00005,de,cs,recall@100,0.0,True
q00005_de,q00005,de,cs,mrr@100,0.0,True
q00005_de,q00005,de,cs,success@1,0.0,True
q00006_de,q00006,de,cs,ndcg@10,0.0,True
q00006_de,q00006,de,cs,recall@10,0.0,True
q00006_de,q00006,de,cs,recall@100,0.0,True
q00006_de,q00006,de,cs,mrr@100,0.0,True
q00006_de,q00006,de,cs,success@1,0.0,True
q00007_de,q00007,de,cs,ndcg@10,0.6309297535714575,True
q00007_de,q00007,de,cs,recall@10,1.0,True
q00007_de,q00007,de,cs,recall@100,1.0,True
q00007_de,q00007,de,cs,mrr@100,0.5,True
q00007_de,q00007,de,cs,success@1,0.0,True
q00008_de,q00008,de,cs,ndcg@10,0.0,True
q00008_de,q00008,de,cs,recall@10,0.0,True
q00008_de,q00008,de,cs,recall@100,0.0,True
q00008_de,q00008,de,cs,mrr@100,0.0,True
q00008_de,q00008,de,cs,success@1,0.0,True
q00009_de,q00009,de,cs,ndcg@10,0.0,True
q00009_de,q00009,de,cs,recall@10,0.0,True
q00009_de,q00009,de,cs,recall@100,0.0,True
q00009_de,q00009,de,cs,mrr@100,0.0,True
q00009_de,q00009,de,cs,success@1,0.0,True
q00010_de,q00010,de,cs,ndcg@10,1.0,True
q00010_de,q00010,de,cs,recall@10,1.0,True
q00010_de,q00010,de,cs,recall@100,1.0,True
q00010_de,q00010,de,cs,mrr@100,1.0,True
q00010_de,q00010,de,cs,success@1,1.0,True
q00011_de,q00011,de,cs,ndcg@10,0.0,True
q00011_de,q00011,de,cs,recall@10,0.0,True
q00011_de,q00011,de,cs,recall@100,0.0,True
q00011_de,q00011,de,cs,mrr@100,0.0,True
q00011_de,q00011,de,cs,success@1,0.0,True
q00012_de,q00012,de,cs,ndcg@10,0.0,True
q00012_de,q00012,de,cs,recall@10,0.0,True
q00012_de,q00012,de,cs,recall@100,0.0,True
q00012_de,q00012,de,cs,mrr@100,0.0,True
q00012_de,q00012,de,cs,success@1,0.0,True
q00013_de,q00013,de,cs,ndcg@10,0.0,True
q00013_de,q00013,de,cs,recall@10,0.0,True
q00013_de,q00013,de,cs,recall@100,0.0,True
q00013_de,q00013,de,cs,mrr@100,0.0,True
q00013_de,q00013,de,cs,success@1,0.0,True
