metric,lang,baseline,n_pairs,median_diff,p_raw,p_holm
mrr@100,cs,en,20,0.0,0.31731050786291415,0.6346210157258283
mrr@100,de,en,20,0.0,0.31731050786291415,0.6346210157258283
ndcg@10,cs,en,20,0.0,0.31731050786291415,0.6346210157258283
ndcg@10,de,en,20,0.0,0.31731050786291415,0.6346210157258283
recall@10,cs,en,20,0.0,1.0,1.0
recall@10,de,en,20,0.0,1.0,1.0
recall@100,cs,en,20,0.0,1.0,1.0
recall@100,de,en,20,0.0,1.0,1.0
success@1,cs,en,20,0.0,0.31731050786291415,0.6346210157258283
success@1,de,en,20,0.0,0.31731050786291415,0.6346210157258283
